"","parameter","m1_cancer_beta","m1_noncancer_beta","m2_cancer_beta","m2_noncancer_beta","m1_cancer_mean","m1_noncancer_mean","m2_cancer_mean","m2_noncancer_mean","power","ln_1","ln_2","m1_surv","m2_surv","m1_surv","m2_surv","parameter","m1_cancer_beta","m1_noncancer_beta","m2_cancer_beta","m2_noncancer_beta","m1_cancer_mean","m1_noncancer_mean","m2_cancer_mean","m2_noncancer_mean","power","ln_1","ln_2","m1_surv","m2_surv","m1_surv","m2_surv"
"1","RAGE - MEAN(RAGE)",0.68275,-0.16692,0.3588,-0.0983,56.95303,50.71858,57.10233,50.49098,1,0,0,1,1,1,1,"RAGE",0.18944,-0.13767,0,-0.062,56.95303,50.71858,57.10233,50.49098,1,0,0,1,0.99751,1,0.99532
"2","RAGE SQUARED - MEAN(RAGE SQUARED)",-0.00592,0.00208,0,0,3303.43182,2708.48354,0,0,2,0,0,1,0.99416,0.99977,0.99085,"RAGE SQUARED",-0.00134,0.00179,0,0,3303.43182,2708.48354,0,0,2,0,0,0.99956,0.99563,0.9985,0.99135
"3","RGENDER",-0.02769,-0.09894,-0.34232,-0.00502,0,0,0,0,1,0,0,1,0.98874,0.99904,0.98573,"RGENDER",0,0,0,0,0,0,0,0,1,0,0,0.99911,0.98999,0.99701,0.98678
"4","RHCV",0.3635,0,-1.06678,-0.29677,0,0,0,0,1,0,0,1,0.98652,0.99706,0.9811,"RHCV",0,0,0,0.10983,0,0,0,0,1,0,0,0.99867,0.98809,0.99551,0.98235
"5","RDISEASE GROUP=2",0,0.68385,0,-0.24214,0,0,0,0,1,0,0,0.99956,0.9854,0.99604,0.98007,"RDISEASE GROUP=2",0,2.19974,0,0.01336,0,0,0,0,1,0,0,0.99822,0.98493,0.99402,0.98116
"6","RDISEASE GROUP=4",0,3.16375,0,2.57881,0,0,0,0,1,0,0,0.99906,0.98204,0.99391,0.97955,"RDISEASE GROUP=4",0,2.09483,0,0.11898,0,0,0,0,1,0,0,0.99778,0.98303,0.99253,0.97997
"7","RDISEASE GROUP=5",0,-2.08473,0,-0.10269,0,0,0,0,1,0,0,0.99906,0.98204,0.9907,0.97722,"RDISEASE GROUP=5",0,0.79088,0,0.4089,0,0,0,0,1,0,0,0.99733,0.98176,0.99105,0.97804
"8","RDISEASE GROUP=6",0,2.70214,0,-1.45184,0,0,0,0,1,0,0,0.99906,0.98091,0.98835,0.97566,"RDISEASE GROUP=6",0,1.73347,0,-0.04613,0,0,0,0,1,0,0,0.99689,0.97986,0.98956,0.97684
"9","RDISEASE GROUP=7",0,-1.3296,0,-0.08155,0,0,0,0,1,0,0,0.99906,0.98091,0.98633,0.97514,"RDISEASE GROUP=7",0,-1.93187,0,0.08521,0,0,0,0,1,0,0,0.99645,0.97795,0.98808,0.97565
"10","RDISEASE GROUP=8",0,2.95088,0,0.81764,0,0,0,0,1,0,0,0.99906,0.97978,0.98539,0.97383,"RDISEASE GROUP=8",0,3.95725,0,0.1877,0,0,0,0,1,0,0,0.996,0.97731,0.9866,0.97475
"11","RDISEASE GROUP=9",0,1.63675,0,0.14073,0,0,0,0,1,0,0,0.99906,0.97752,0.98369,0.97279,"RDISEASE GROUP=9",0,2.92096,0,0.27332,0,0,0,0,1,0,0,0.99556,0.97476,0.98512,0.97371
"12","RDISEASE GROUP=10",0,1.98874,0,0.58202,0,0,0,0,1,0,0,0.99861,0.97752,0.98158,0.97201,"RDISEASE GROUP=10",0,2.8809,0,0.52863,0,0,0,0,1,0,0,0.99512,0.97412,0.98365,0.97266
"13","LN(RCREATININE) - MEAN(LN(RCREATININE))",0.12636,0.81127,4.84495,-0.9718,4.31761,4.43303,4.36459,4.47103,1,1,0,0.99817,0.97638,0.98039,0.9707,"LN(RCREATININE)",0.43477,0.89756,0,-0.33312,4.31761,4.43303,4.36459,4.47103,1,1,0,0.99468,0.97284,0.98217,0.97132
