m1_surv,m2_surv
1,0.99751
0.99956,0.99563
0.99911,0.98999
0.99867,0.98809
0.99822,0.98493
0.99778,0.98303
0.99733,0.98176
0.99689,0.97986
0.99645,0.97795
0.996,0.97731
0.99556,0.97476
0.99512,0.97412
0.99468,0.97284
0.99423,0.97284
0.99379,0.9722
0.99335,0.9722
0.99291,0.9722
0.99247,0.97156
0.99203,0.97156
0.99158,0.97092
0.99114,0.97092
0.9907,0.97028
0.99026,0.96964
0.98982,0.96964
0.98938,0.96964
0.98894,0.96899
0.9885,0.96899
0.98806,0.96835
0.98762,0.96835
0.98718,0.96835
0.98674,0.96771
0.98631,0.96771
0.98587,0.96771
0.98543,0.96771
0.98499,0.96771
0.98455,0.96771
0.98412,0.96771
0.98368,0.96771
0.98324,0.96771
0.9828,0.96771
0.98237,0.96642
0.98193,0.96578
0.98149,0.96578
0.98106,0.96513
0.98062,0.96513
0.98018,0.96513
0.97975,0.96513
0.97931,0.96513
0.97888,0.96449
0.97844,0.96449
0.97801,0.96449
0.97757,0.96449
0.97714,0.96384
0.9767,0.96384
0.97627,0.96384
0.97583,0.96384
0.9754,0.9632
0.97497,0.9632
0.97453,0.9632
0.9741,0.9632
0.97367,0.96255
0.97323,0.96255
0.9728,0.96255
0.97237,0.96255
0.97194,0.96255
0.9715,0.96255
0.97107,0.9619
0.97064,0.9619
0.97021,0.96126
0.96978,0.96126
0.96935,0.96126
0.96891,0.96061
0.96848,0.96061
0.96805,0.96061
0.96762,0.96061
0.96719,0.96061
0.96676,0.96061
0.96633,0.96061
0.9659,0.95996
0.96547,0.95931
0.96504,0.95867
0.96462,0.95867
0.96419,0.95867
0.96376,0.95867
0.96333,0.95867
0.9629,0.95867
0.96247,0.95867
0.96204,0.95801
0.96162,0.95736
0.96119,0.95736
0.96076,0.95736
0.96033,0.95736
0.9599,0.95736
0.95946,0.95736
0.95902,0.95736
0.95858,0.95736
0.95814,0.95671
0.95769,0.95671
0.95724,0.95671
0.95679,0.95605
0.95634,0.95605
0.95589,0.95605
0.95543,0.95605
0.95497,0.95605
0.95451,0.95605
0.95404,0.95605
0.95357,0.95605
0.9531,0.95605
0.95263,0.95605
0.95215,0.95605
0.95168,0.95539
0.9512,0.95539
0.95071,0.95408
0.95023,0.95408
0.94974,0.95342
0.94925,0.95342
0.94876,0.95276
0.94827,0.95276
0.94777,0.95276
0.94727,0.95276
0.94677,0.95276
0.94626,0.95276
0.94576,0.95211
0.94525,0.95211
0.94474,0.95145
0.94423,0.95145
0.94371,0.95079
0.9432,0.95079
0.94268,0.95013
0.94215,0.95013
0.94163,0.94947
0.94111,0.94947
0.94059,0.94947
0.94006,0.94881
0.93954,0.94881
0.93902,0.94815
0.9385,0.94815
0.93798,0.94815
0.93746,0.94682
0.93694,0.94682
0.93641,0.94682
0.93589,0.94682
0.93537,0.94682
0.93486,0.94682
0.93434,0.94616
0.93382,0.94616
0.9333,0.94616
0.93278,0.94616
0.93226,0.94616
0.93174,0.94616
0.93123,0.94616
0.93071,0.94616
0.93019,0.9455
0.92968,0.94483
0.92916,0.94483
0.92864,0.94483
0.92813,0.94483
0.92761,0.94483
0.9271,0.94483
0.92658,0.94417
0.92607,0.94417
0.92555,0.94417
0.92504,0.94417
0.92453,0.94417
0.92401,0.9435
0.9235,0.9435
0.92299,0.94284
0.92247,0.94217
0.92196,0.94217
0.92145,0.9415
0.92094,0.94017
0.92043,0.94017
0.91992,0.94017
0.9194,0.94017
0.91889,0.94017
0.91838,0.94017
0.91787,0.9395
0.91736,0.9395
0.91685,0.9395
0.91634,0.93883
0.91584,0.93883
0.91532,0.93883
0.9148,0.93883
0.91427,0.93816
0.91374,0.9375
0.9132,0.9375
0.91265,0.9375
0.9121,0.9375
0.91154,0.9375
0.91097,0.9375
0.9104,0.9375
0.90983,0.9375
0.90926,0.9375
0.90868,0.9375
0.90809,0.9375
0.9075,0.9375
0.90691,0.9375
0.90631,0.9375
0.9057,0.93683
0.9051,0.93616
0.90449,0.93616
0.90387,0.93616
0.90325,0.93616
0.90262,0.93616
0.90199,0.93616
0.90136,0.93616
0.90071,0.93549
0.90007,0.93549
0.89942,0.93482
0.89876,0.93482
0.8981,0.93482
0.89743,0.93482
0.89676,0.93482
0.89608,0.93482
0.8954,0.93482
0.89471,0.93482
0.89402,0.93482
0.89333,0.93482
0.89263,0.93482
0.89192,0.93482
0.89121,0.93482
0.8905,0.93482
0.88978,0.93482
0.88906,0.93482
0.88833,0.93482
0.8876,0.93482
0.88687,0.93482
0.88613,0.93482
0.88539,0.93482
0.88465,0.93482
0.8839,0.93415
0.88314,0.93415
0.88239,0.93415
0.88162,0.93415
0.88085,0.93415
0.88008,0.93415
0.8793,0.93415
0.87852,0.93415
0.87773,0.93415
0.87694,0.93415
0.87614,0.93415
0.87534,0.93415
0.87454,0.93415
0.87373,0.93348
0.87291,0.93348
0.87209,0.93281
0.87126,0.93281
0.87043,0.93281
0.86959,0.93281
0.86875,0.93281
0.86791,0.93281
0.86705,0.93281
0.8662,0.93281
0.86534,0.9308
0.86449,0.9308
0.86362,0.9308
0.86275,0.9308
0.86188,0.9308
0.861,0.93013
0.86012,0.92879
0.85924,0.92879
0.85836,0.92879
0.85746,0.92811
0.85657,0.92811
0.85567,0.92811
0.85476,0.92811
0.85385,0.92811
0.85294,0.92811
0.85203,0.92811
0.85111,0.92744
0.85018,0.92744
0.84926,0.92677
0.84834,0.92542
0.84742,0.92542
0.8465,0.92475
0.84559,0.92475
0.84467,0.92475
0.84375,0.92475
0.84284,0.92407
0.84193,0.9234
0.84101,0.9234
0.8401,0.9234
0.83919,0.9234
0.83828,0.9234
0.83737,0.9234
0.83646,0.9234
0.83556,0.9234
0.83465,0.9234
0.83375,0.9234
0.83284,0.9234
0.83194,0.9234
0.83104,0.92272
0.83014,0.92272
0.82924,0.92272
0.82834,0.92272
0.82744,0.92272
0.82654,0.92272
0.82565,0.92272
0.82475,0.92272
0.82386,0.92205
0.82297,0.92205
0.82207,0.92205
0.82118,0.92205
0.82029,0.92205
0.8194,0.92205
0.81852,0.92205
0.81763,0.92205
0.81674,0.92205
0.81586,0.92205
0.81497,0.92205
0.81409,0.92137
0.81321,0.92137
0.81232,0.92137
0.81144,0.92069
0.81056,0.92069
0.80969,0.92069
0.80881,0.92069
0.80793,0.92069
0.80706,0.92069
0.80618,0.92069
0.80531,0.92069
0.80443,0.92069
0.80356,0.92069
0.80269,0.92069
0.80182,0.92001
0.80095,0.92001
0.80008,0.92001
0.79922,0.92001
0.79835,0.92001
0.79748,0.92001
0.79662,0.92001
0.79576,0.92001
0.79489,0.92001
0.79403,0.91933
0.79317,0.91933
0.79231,0.91933
0.79145,0.91865
0.7906,0.91865
0.78974,0.91797
0.78888,0.91797
0.78803,0.91797
0.78717,0.91797
0.78632,0.91797
0.78547,0.91797
0.78462,0.91729
0.78377,0.91661
0.78292,0.91661
0.78207,0.91661
0.78122,0.91661
0.78037,0.91661
0.77953,0.91661
0.77868,0.91661
0.77784,0.91661
0.777,0.91661
0.77615,0.91661
0.77531,0.91661
0.77447,0.91661
0.77363,0.91592
0.77279,0.91592
0.77196,0.91524
0.77112,0.91524
0.77028,0.91524
0.76945,0.91387
0.76862,0.91387
0.76778,0.91387
0.76695,0.91387
0.76612,0.91387
0.76529,0.91387
0.76447,0.91387
0.76365,0.91387
0.76283,0.91387
0.76201,0.91387
0.7612,0.91387
0.76038,0.91387
0.75957,0.91387
0.75876,0.91318
0.75796,0.91318
0.75715,0.91318
0.75635,0.9125
0.75555,0.9125
0.75476,0.9125
0.75396,0.9125
0.75317,0.9125
0.75239,0.9125
0.7516,0.9125
0.75082,0.9125
0.75004,0.9125
0.74926,0.9125
0.74849,0.9125
0.74771,0.9125
0.74694,0.9125
0.74617,0.9125
0.74541,0.9125
0.74465,0.9125
0.74388,0.9125
0.74312,0.9125
0.74237,0.91181
0.74161,0.91181
0.74086,0.91112
0.74011,0.91112
0.73937,0.91112
